tf.Tensor(21.5792, shape=(), dtype=float32)
tf.Tensor(22.22999, shape=(), dtype=float32)
tf.Tensor(23.135824, shape=(), dtype=float32)
tf.Tensor(23.6731, shape=(), dtype=float32)
tf.Tensor(22.63487, shape=(), dtype=float32)
tf.Tensor(21.925083, shape=(), dtype=float32)
tf.Tensor(21.454317, shape=(), dtype=float32)
tf.Tensor(21.451197, shape=(), dtype=float32)
tf.Tensor(21.450077, shape=(), dtype=float32)
tf.Tensor(21.185652, shape=(), dtype=float32)
tf.Tensor(20.709297, shape=(), dtype=float32)
tf.Tensor(20.53916, shape=(), dtype=float32)
tf.Tensor(20.317816, shape=(), dtype=float32)
tf.Tensor(20.865389, shape=(), dtype=float32)
tf.Tensor(21.481476, shape=(), dtype=float32)
tf.Tensor(21.590807, shape=(), dtype=float32)
tf.Tensor(20.49011, shape=(), dtype=float32)
tf.Tensor(20.18135, shape=(), dtype=float32)
tf.Tensor(19.700018, shape=(), dtype=float32)
tf.Tensor(19.593227, shape=(), dtype=float32)
tf.Tensor(19.432587, shape=(), dtype=float32)
tf.Tensor(19.38072, shape=(), dtype=float32)
tf.Tensor(19.222618, shape=(), dtype=float32)
tf.Tensor(19.178074, shape=(), dtype=float32)
tf.Tensor(19.066015, shape=(), dtype=float32)
tf.Tensor(18.962288, shape=(), dtype=float32)
tf.Tensor(18.991102, shape=(), dtype=float32)
tf.Tensor(18.8648, shape=(), dtype=float32)
tf.Tensor(18.844494, shape=(), dtype=float32)
tf.Tensor(18.762392, shape=(), dtype=float32)
tf.Tensor(18.732023, shape=(), dtype=float32)
tf.Tensor(18.709845, shape=(), dtype=float32)
tf.Tensor(18.961493, shape=(), dtype=float32)
tf.Tensor(18.837517, shape=(), dtype=float32)
tf.Tensor(19.046543, shape=(), dtype=float32)
tf.Tensor(18.851257, shape=(), dtype=float32)
tf.Tensor(18.464727, shape=(), dtype=float32)
tf.Tensor(18.152786, shape=(), dtype=float32)
tf.Tensor(18.106987, shape=(), dtype=float32)
tf.Tensor(18.004124, shape=(), dtype=float32)
tf.Tensor(17.964764, shape=(), dtype=float32)
tf.Tensor(17.873169, shape=(), dtype=float32)
tf.Tensor(17.763523, shape=(), dtype=float32)
tf.Tensor(17.805637, shape=(), dtype=float32)
tf.Tensor(17.694818, shape=(), dtype=float32)
tf.Tensor(17.626623, shape=(), dtype=float32)
tf.Tensor(17.555307, shape=(), dtype=float32)
tf.Tensor(17.48003, shape=(), dtype=float32)
tf.Tensor(17.503397, shape=(), dtype=float32)
tf.Tensor(17.442533, shape=(), dtype=float32)
tf.Tensor(17.361526, shape=(), dtype=float32)
tf.Tensor(17.321115, shape=(), dtype=float32)
tf.Tensor(17.225859, shape=(), dtype=float32)
tf.Tensor(17.206003, shape=(), dtype=float32)
tf.Tensor(17.18031, shape=(), dtype=float32)
tf.Tensor(17.066114, shape=(), dtype=float32)
tf.Tensor(17.03477, shape=(), dtype=float32)
tf.Tensor(16.99943, shape=(), dtype=float32)
tf.Tensor(16.907843, shape=(), dtype=float32)
tf.Tensor(16.903141, shape=(), dtype=float32)
tf.Tensor(16.850143, shape=(), dtype=float32)
tf.Tensor(16.792374, shape=(), dtype=float32)
tf.Tensor(16.692406, shape=(), dtype=float32)
tf.Tensor(16.64603, shape=(), dtype=float32)
tf.Tensor(16.60727, shape=(), dtype=float32)
tf.Tensor(16.546768, shape=(), dtype=float32)
tf.Tensor(16.488035, shape=(), dtype=float32)
tf.Tensor(16.462694, shape=(), dtype=float32)
tf.Tensor(16.414846, shape=(), dtype=float32)
tf.Tensor(16.390478, shape=(), dtype=float32)
tf.Tensor(16.328163, shape=(), dtype=float32)
tf.Tensor(16.257269, shape=(), dtype=float32)
tf.Tensor(16.233902, shape=(), dtype=float32)
tf.Tensor(16.192228, shape=(), dtype=float32)
tf.Tensor(16.108799, shape=(), dtype=float32)
tf.Tensor(16.102959, shape=(), dtype=float32)
tf.Tensor(16.061451, shape=(), dtype=float32)
tf.Tensor(15.999963, shape=(), dtype=float32)
tf.Tensor(15.924245, shape=(), dtype=float32)
tf.Tensor(15.899247, shape=(), dtype=float32)
tf.Tensor(15.910155, shape=(), dtype=float32)
tf.Tensor(15.836215, shape=(), dtype=float32)
tf.Tensor(15.759275, shape=(), dtype=float32)
tf.Tensor(15.741564, shape=(), dtype=float32)
tf.Tensor(15.717421, shape=(), dtype=float32)
tf.Tensor(15.675304, shape=(), dtype=float32)
tf.Tensor(15.610524, shape=(), dtype=float32)
tf.Tensor(15.600932, shape=(), dtype=float32)
tf.Tensor(15.53825, shape=(), dtype=float32)
tf.Tensor(15.481206, shape=(), dtype=float32)
tf.Tensor(15.439794, shape=(), dtype=float32)
tf.Tensor(15.416104, shape=(), dtype=float32)
tf.Tensor(15.385465, shape=(), dtype=float32)
tf.Tensor(15.32509, shape=(), dtype=float32)
tf.Tensor(15.302332, shape=(), dtype=float32)
tf.Tensor(15.297619, shape=(), dtype=float32)
tf.Tensor(15.243842, shape=(), dtype=float32)
tf.Tensor(15.2117605, shape=(), dtype=float32)
tf.Tensor(15.192903, shape=(), dtype=float32)
tf.Tensor(15.097715, shape=(), dtype=float32)
tf.Tensor(15.076726, shape=(), dtype=float32)
tf.Tensor(15.042302, shape=(), dtype=float32)
tf.Tensor(15.017965, shape=(), dtype=float32)
tf.Tensor(14.969282, shape=(), dtype=float32)
tf.Tensor(14.937182, shape=(), dtype=float32)
tf.Tensor(14.907549, shape=(), dtype=float32)
