tf.Tensor(227.26857, shape=(), dtype=float32)
tf.Tensor(225.55579, shape=(), dtype=float32)
tf.Tensor(223.58336, shape=(), dtype=float32)
tf.Tensor(221.72014, shape=(), dtype=float32)
tf.Tensor(220.13402, shape=(), dtype=float32)
tf.Tensor(218.27473, shape=(), dtype=float32)
tf.Tensor(216.82434, shape=(), dtype=float32)
tf.Tensor(215.30685, shape=(), dtype=float32)
tf.Tensor(213.65881, shape=(), dtype=float32)
tf.Tensor(211.84013, shape=(), dtype=float32)
tf.Tensor(210.30754, shape=(), dtype=float32)
tf.Tensor(208.65271, shape=(), dtype=float32)
tf.Tensor(206.93471, shape=(), dtype=float32)
tf.Tensor(205.3779, shape=(), dtype=float32)
